Gene ID	Gene Name	log2foldchange	p-value
ENSG00000079150	FKBP7	1.6	1.02E-10
ENSG00000079156	OSBPL6	0.3	0.000169048
ENSG00000079215	SLC1A3	1.4	8.25E-08
ENSG00000079246	XRCC5	0.5	7.63E-08
ENSG00000079257	LXN	2	2.82E-10
ENSG00000079263	SP140	0	0.883559261
ENSG00000079277	MKNK1	-0.9	9.12E-07
ENSG00000079308	TNS1	0.6	7.78E-06
ENSG00000079313	REXO1	-0.6	1.59E-07
ENSG00000079332	SAR1A	0.5	5.31E-09
ENSG00000079335	CDC14A	-0.3	3.31E-07
ENSG00000079337	RAPGEF3	-0.3	0.000342872
ENSG00000079385	CEACAM1	1.4	0.000109909
ENSG00000079387	SENP1	0.1	0.318832999
ENSG00000079393	DUSP13	-0.5	7.85E-07
ENSG00000079432	CIC	0	0.317917359
ENSG00000079435	LIPE	-0.6	1.08E-09
ENSG00000079459	FDFT1	0.4	0.001001389
ENSG00000079462	PAFAH1B3	0.3	1.07E-05
ENSG00000079557	AFM	-0.2	0.002139948
ENSG00000079616	KIF22	0	0.929877406
ENSG00000079689	SCGN	-0.8	0.005204373
ENSG00000079691	CARMIL1	0.2	0.086191091
ENSG00000079739	PGM1	0	0.836039114
ENSG00000079785	DDX1	-0.1	0.203501124
ENSG00000079805	DNM2	0.5	4.75E-05
ENSG00000079819	EPB41L2	1.1	1.72E-07
ENSG00000079841	RIMS1	-0.5	8.28E-08
ENSG00000079931	MOXD1	2.1	5.01E-11
ENSG00000079950	STX7	0.9	1.89E-07
ENSG00000079999	KEAP1	0.4	1.95E-07
ENSG00000080007	DDX43	-0.1	0.428835807
ENSG00000080031	PTPRH	0.2	0.338673646
ENSG00000080166	DCT	-0.4	1.53E-06
ENSG00000080189	SLC35C2	0.4	8.01E-07
ENSG00000080200	CRYBG3	0.1	0.01559894
ENSG00000080224	EPHA6	-0.2	0.003280422
ENSG00000080293	SCTR	-0.3	0.086025602
ENSG00000080298	RFX3	0	0.636324513
ENSG00000080345	RIF1	0.5	9.15E-07
ENSG00000080371	RAB21	0.5	2.65E-07
ENSG00000080493	SLC4A4	-1	0.029374945
ENSG00000080503	SMARCA2	0.3	0.003045949
ENSG00000080511	RDH8	-0.4	5.64E-07
ENSG00000080546	SESN1	-0.1	0.160476487
ENSG00000080561	MID2	-0.4	2.47E-06
ENSG00000080572	PIH1D3	-0.4	4.11E-07
ENSG00000080573	COL5A3	0	0.882591726
ENSG00000080603	SRCAP	-0.2	1.06E-05
ENSG00000080608	PUM3	0.3	2.25E-06
ENSG00000080618	CPB2	-0.2	0.009653654
ENSG00000080644	CHRNA3	-0.4	9.21E-06
ENSG00000080709	KCNN2	-0.7	8.85E-05
ENSG00000080802	CNOT4	0.6	1.74E-06
ENSG00000080815	PSEN1	0.6	1.01E-06
ENSG00000080819	CPOX	0.6	3.36E-05
ENSG00000080822	CLDND1	0.7	1.51E-06
ENSG00000080823	MOK	0.3	0.000189003
ENSG00000080824	HSP90AA1	0.4	2.33E-05
ENSG00000080839	RBL1	0	0.487962864
ENSG00000080845	DLGAP4	0.3	0.001002962
ENSG00000080854	IGSF9B	0	0.579140857
ENSG00000080910	CFHR2	0.5	4.58E-05
ENSG00000080947	CROCCP3	-0.5	2.33E-07
ENSG00000080986	NDC80	1.5	4.89E-08
ENSG00000081014	AP4E1	0.6	3.91E-06
ENSG00000081019	RSBN1	0.1	0.530270782
ENSG00000081026	MAGI3	-0.5	0.000154125
ENSG00000081041	CXCL2	1	0.000246784
ENSG00000081051	AFP	-0.3	3.77E-05
ENSG00000081052	COL4A4	0.1	0.523273504
ENSG00000081059	TCF7	0.3	0.010573042
ENSG00000081087	OSTM1	0.8	1.04E-07
ENSG00000081138	CDH7	-0.3	0.000105086
ENSG00000081148	IMPG2	-0.3	0.000171074
ENSG00000081154	PCNP	0.2	0.000212817
ENSG00000081177	EXD2	-0.4	1.22E-05
ENSG00000081181	ARG2	-0.1	0.252915642
ENSG00000081189	MEF2C	1	6.05E-05
ENSG00000081237	PTPRC	1.9	9.21E-06
ENSG00000081248	CACNA1S	-0.5	5.58E-08
ENSG00000081277	PKP1	0	0.87716775
ENSG00000081307	UBA5	-0.6	6.00E-08
ENSG00000081320	STK17B	0.7	0.001794585
ENSG00000081377	CDC14B	0.1	0.260060484
ENSG00000081386	ZNF510	-0.4	4.69E-06
ENSG00000081479	LRP2	-0.2	0.002785901
ENSG00000081665	ZNF506	0.2	0.030121408
ENSG00000081692	JMJD4	-0.3	1.09E-05
ENSG00000081721	DUSP12	0.4	1.94E-06
ENSG00000081760	AACS	0	0.602238749
ENSG00000081791	DELE1	-0.3	2.97E-07
ENSG00000081800	SLC13A1	0	0.679586727
ENSG00000081803	CADPS2	-0.3	0.004910425
ENSG00000081818	PCDHB4	-0.1	0.58076162
ENSG00000081842	PCDHA6	-0.3	4.06E-05
ENSG00000081870	HSPB11	0.4	2.70E-05
ENSG00000081913	PHLPP1	-0.4	2.34E-05
ENSG00000081923	ATP8B1	0.5	4.47E-06
ENSG00000081985	IL12RB2	-0.6	2.50E-07
ENSG00000082014	SMARCD3	0.5	2.22E-05
ENSG00000082068	WDR70	0.2	0.000394426
ENSG00000082074	FYB1	1.6	2.16E-05
ENSG00000082126	MPP4	-0.4	1.93E-08
ENSG00000082153	BZW1	0.6	9.93E-08
ENSG00000082175	PGR	0.5	0.003652166
ENSG00000082196	C1QTNF3	1.2	3.19E-09
ENSG00000082212	ME2	-0.2	0.029752446
ENSG00000082213	C5orf22	-0.1	0.030712997
ENSG00000082258	CCNT2	0.2	0.002961367
ENSG00000082269	FAM135A	0.6	0.000276965
ENSG00000082293	COL19A1	-0.3	1.14E-05
ENSG00000082397	EPB41L3	0.8	0.003331711
ENSG00000082438	COBLL1	-0.9	3.39E-07
ENSG00000082458	DLG3	-0.4	0.001771431
ENSG00000082482	KCNK2	0	0.577023414
ENSG00000082497	SERTAD4	0.8	2.43E-08
ENSG00000082512	TRAF5	0.1	0.423392549
ENSG00000082515	MRPL22	0.2	0.011348407
ENSG00000082516	GEMIN5	0.3	1.44E-06
ENSG00000082556	OPRK1	-0.2	0.001172621
ENSG00000082641	NFE2L1	0.5	1.47E-06
ENSG00000082684	SEMA5B	-0.6	4.58E-05
ENSG00000082701	GSK3B	0.6	5.38E-09
ENSG00000082781	ITGB5	1.4	4.40E-12
ENSG00000082805	ERC1	0.4	3.69E-08
ENSG00000082898	XPO1	0.7	1.77E-08
ENSG00000082929	LINC01587	-0.4	1.19E-06
ENSG00000082996	RNF13	0.4	6.62E-08
ENSG00000083067	TRPM3	-0.3	3.21E-06
ENSG00000083093	PALB2	0.5	6.73E-07
ENSG00000083097	DOP1A	-0.1	0.022246611
ENSG00000083099	LYRM2	0	0.83939392
ENSG00000083123	BCKDHB	-0.1	0.011403778
ENSG00000083168	KAT6A	0.3	0.000214367
ENSG00000083223	TUT7	0.3	3.11E-05
ENSG00000083290	ULK2	0.6	5.27E-07
ENSG00000083307	GRHL2	0.1	0.588329202
ENSG00000083312	TNPO1	0.5	2.08E-08
ENSG00000083444	PLOD1	0.6	9.44E-08
ENSG00000083454	P2RX5	0.1	0.675104944
ENSG00000083457	ITGAE	0.1	0.130941816
ENSG00000083520	DIS3	0.7	2.32E-07
ENSG00000083535	PIBF1	0.6	4.42E-08
ENSG00000083544	TDRD3	0.1	0.08418439
ENSG00000083635	NUFIP1	-0.1	0.034331723
ENSG00000083642	PDS5B	0.5	1.17E-07
ENSG00000083720	OXCT1	0.6	1.87E-05
ENSG00000083750	RRAGB	0	0.849097999
ENSG00000083782	EPYC	1.7	8.34E-05
ENSG00000083799	CYLD	0.3	0.006438823
ENSG00000083807	SLC27A5	-0.6	1.64E-07
ENSG00000083814	ZNF671	-0.4	1.88E-05
ENSG00000083817	ZNF416	0	0.577340997
ENSG00000083828	ZNF586	0.3	0.003514977
ENSG00000083838	ZNF446	-0.2	3.07E-05
ENSG00000083844	ZNF264	0.4	2.08E-05
ENSG00000083845	RPS5	-0.3	3.33E-06
ENSG00000083857	FAT1	1.1	5.08E-07
ENSG00000083896	YTHDC1	0.2	0.000235543
ENSG00000083937	CHMP2B	0	0.428677253
ENSG00000084070	SMAP2	0.7	0.000434069
ENSG00000084072	PPIE	0.1	0.176555427
ENSG00000084073	ZMPSTE24	0.5	2.77E-07
ENSG00000084090	STARD7	0.1	0.432346425
ENSG00000084092	NOA1	-0.3	1.29E-05
ENSG00000084093	REST	-0.4	4.72E-07
ENSG00000084110	HAL	-0.1	0.084492168
ENSG00000084112	SSH1	0.8	1.69E-08
ENSG00000084207	GSTP1	0.7	1.30E-07
ENSG00000084234	APLP2	0.5	1.77E-07
ENSG00000084444	FAM234B	-0.3	5.00E-06
ENSG00000084453	SLCO1A2	-0.2	0.000145745
ENSG00000084463	WBP11	0.3	0.000190519
ENSG00000084623	EIF3I	0.1	0.085168156
ENSG00000084628	NKAIN1	-0.4	6.97E-07
ENSG00000084636	COL16A1	1.5	2.12E-11
ENSG00000084652	TXLNA	0.7	3.86E-08
ENSG00000084674	APOB	-1.1	0.015585344
ENSG00000084676	NCOA1	0	0.500994948
ENSG00000084693	AGBL5	-0.4	7.46E-05
ENSG00000084710	EFR3B	-0.2	0.006047059
ENSG00000084731	KIF3C	0.4	1.01E-07
ENSG00000084733	RAB10	0.4	9.97E-06
ENSG00000084734	GCKR	0	0.397096723
ENSG00000084754	HADHA	-0.2	0.02433433
ENSG00000084764	MAPRE3	-0.5	6.78E-06
ENSG00000084774	CAD	0.5	1.66E-07
ENSG00000085063	CD59	0.9	2.26E-10
ENSG00000085117	CD82	-0.1	0.28703151
ENSG00000085185	BCORL1	-0.1	0.007305738
ENSG00000085224	ATRX	0.2	3.17E-05
ENSG00000085231	AK6	0	0.490415825
ENSG00000085265	FCN1	0.4	0.115162206
ENSG00000085274	MYNN	0.2	0.001193746
ENSG00000085276	MECOM	0.3	0.056748653
ENSG00000085365	SCAMP1	0.3	1.50E-06
ENSG00000085377	PREP	0.2	0.009577174
ENSG00000085382	HACE1	0.4	1.45E-05
ENSG00000085415	SEH1L	0.1	0.093848083
ENSG00000085433	WDR47	0.8	1.76E-08
ENSG00000085449	WDFY1	0.8	8.08E-09
ENSG00000085465	OVGP1	-0.3	4.29E-05
ENSG00000085491	SLC25A24	0.7	1.43E-05
ENSG00000085511	MAP3K4	0.3	3.77E-06
ENSG00000085514	PILRA	0.8	1.88E-07
ENSG00000085552	IGSF9	-0.3	0.002404088
ENSG00000085563	ABCB1	0.8	0.002590195
ENSG00000085644	ZNF213	-0.3	2.37E-06
ENSG00000085662	AKR1B1	0.7	3.43E-08
ENSG00000085719	CPNE3	0	0.950723909
ENSG00000085721	RRN3	0.3	0.000976254
ENSG00000085733	CTTN	0.4	1.01E-05
ENSG00000085741	WNT11	-0.4	0.000571238
ENSG00000085760	MTIF2	-0.2	0.015843448
ENSG00000085788	DDHD2	0.5	1.96E-06
ENSG00000085831	TTC39A	0.5	0.000997541
ENSG00000085832	EPS15	0.4	5.83E-05
ENSG00000085840	ORC1	-0.2	0.000384468
ENSG00000085871	MGST2	0	0.771239646
ENSG00000085872	CHERP	0.5	2.80E-06
ENSG00000085978	ATG16L1	0.3	0.000122962
ENSG00000085982	USP40	0.2	0.013905827
ENSG00000085998	POMGNT1	0.3	0.000177244
ENSG00000085999	RAD54L	-0.2	0.006595766
ENSG00000086015	MAST2	1	8.61E-09
ENSG00000086061	DNAJA1	0.4	0.000294916
ENSG00000086062	B4GALT1	-0.1	0.130082383
ENSG00000086065	CHMP5	0.5	1.52E-06
ENSG00000086102	NFX1	0.1	0.093171091
ENSG00000086159	AQP6	-0.3	2.65E-05
ENSG00000086189	DIMT1	-0.1	0.043756086
ENSG00000086200	IPO11	0.1	0.075901999
ENSG00000086232	EIF2AK1	0.1	0.096339837
ENSG00000086288	NME8	0.1	0.084834846
ENSG00000086289	EPDR1	0.9	2.69E-08
ENSG00000086300	SNX10	1.2	1.22E-07
ENSG00000086475	SEPHS1	0.4	2.78E-07
ENSG00000086504	MRPL28	0.1	0.098018423
ENSG00000086506	HBQ1	-0.7	8.53E-08
ENSG00000086544	ITPKC	0.3	0.004769615
ENSG00000086548	CEACAM6	3.1	5.08E-10
ENSG00000086570	FAT2	-0.5	4.33E-06
ENSG00000086589	RBM22	0.3	6.19E-05
ENSG00000086598	TMED2	-0.3	0.000257873
ENSG00000086619	ERO1B	-1.6	1.35E-05
ENSG00000086696	HSD17B2	0.9	0.010760345
ENSG00000086712	TXLNG	0.1	0.092971114
ENSG00000086717	PPEF1	0.2	0.022098259
ENSG00000086730	LAT2	1	9.39E-06
ENSG00000086758	HUWE1	0.4	1.16E-06
ENSG00000086827	ZW10	-0.2	6.19E-05
ENSG00000086848	ALG9	-0.2	0.001537425
ENSG00000086967	MYBPC2	-0.7	1.57E-07
ENSG00000086991	NOX4	3	9.23E-14
ENSG00000087008	ACOX3	-0.3	1.33E-05
ENSG00000087053	MTMR2	0.7	4.10E-10
ENSG00000087074	PPP1R15A	0.4	0.002620824
ENSG00000087076	HSD17B14	-0.1	0.268466095
ENSG00000087077	TRIP6	0.8	8.08E-10
ENSG00000087085	ACHE	-0.1	0.008163792
ENSG00000087087	SRRT	0.5	2.45E-06
ENSG00000087088	BAX	0.4	0.001007349
ENSG00000087095	NLK	-0.1	0.249138074
ENSG00000087116	ADAMTS2	2.8	5.45E-12
ENSG00000087128	TMPRSS11E	-0.2	0.080883098
ENSG00000087152	ATXN7L3	0.1	0.095580997
ENSG00000087157	PGS1	0.3	9.89E-05
ENSG00000087191	PSMC5	0.3	2.76E-05
ENSG00000087206	UIMC1	0.3	2.23E-05
ENSG00000087237	CETP	-0.7	0.005379521
ENSG00000087245	MMP2	2.5	1.93E-11
ENSG00000087253	LPCAT2	1.4	1.38E-10
ENSG00000087258	GNAO1	-0.4	1.04E-06
ENSG00000087263	OGFOD1	0.6	5.51E-08
ENSG00000087266	SH3BP2	0	0.484638294
ENSG00000087269	NOP14	-0.2	0.002591341
ENSG00000087274	ADD1	0.7	1.56E-07
ENSG00000087299	L2HGDH	-0.1	0.056717278
ENSG00000087301	TXNDC16	-0.2	0.030075815
ENSG00000087302	RTRAF	0	0.61407429
ENSG00000087303	NID2	1.7	2.80E-10
ENSG00000087338	GMCL1	0.3	0.001571531
ENSG00000087365	SF3B2	0.2	1.37E-06
ENSG00000087448	KLHL42	-0.1	0.144266554
ENSG00000087460	GNAS	0	0.786443883
ENSG00000087470	DNM1L	0.5	3.43E-07
ENSG00000087494	PTHLH	0	0.823304987
ENSG00000087495	PHACTR3	0.7	0.001484511
ENSG00000087502	ERGIC2	0.1	0.042668449
ENSG00000087510	TFAP2C	0.2	0.186507825
ENSG00000087586	AURKA	0.3	0.039663634
ENSG00000087589	CASS4	-0.2	0.001516203
ENSG00000087842	PIR	0.7	0.000808071
ENSG00000087884	AAMDC	0.1	0.293974486
ENSG00000087903	RFX2	-0.5	1.18E-07
ENSG00000088002	SULT2B1	-0.2	0.010571351
ENSG00000088035	ALG6	0.2	0.023993849
ENSG00000088038	CNOT3	0.2	0.014691449
ENSG00000088053	GP6	-0.1	0.018615597
ENSG00000088179	PTPN4	0.2	0.025724989
ENSG00000088205	DDX18	0.3	1.14E-05
ENSG00000088247	KHSRP	0.4	2.13E-05
ENSG00000088256	GNA11	0	0.82294067
ENSG00000088280	ASAP3	0	0.998405837
ENSG00000088298	EDEM2	0.1	0.17631653
ENSG00000088305	DNMT3B	0	0.728794342
ENSG00000088320	REM1	-0.6	3.24E-07
ENSG00000088325	TPX2	0.9	7.95E-05
ENSG00000088340	FER1L4	-0.1	0.553666736
ENSG00000088356	PDRG1	0.1	0.212208412
ENSG00000088367	EPB41L1	0.9	3.28E-08
ENSG00000088386	SLC15A1	-0.4	0.093051179
ENSG00000088387	DOCK9	0.7	9.93E-08
ENSG00000088448	ANKRD10	0.9	2.45E-10
ENSG00000088451	TGDS	0.3	2.48E-05
ENSG00000088538	DOCK3	-0.1	0.421517246
ENSG00000088543	C3orf18	-0.4	2.12E-05
ENSG00000088682	COQ9	-0.3	0.00037114
ENSG00000088726	TMEM40	-0.2	0.039679249
ENSG00000088727	KIF9	0.1	0.547725002
ENSG00000088756	ARHGAP28	-0.4	0.014532973
ENSG00000088782	DEFB127	-0.1	0.007076899
ENSG00000088808	PPP1R13B	-0.1	0.449814216
ENSG00000088812	ATRN	-0.2	0.034593297
ENSG00000088826	SMOX	-0.3	0.001018887
ENSG00000088827	SIGLEC1	0.1	0.470816089
ENSG00000088832	FKBP1A	0.2	0.054194173
ENSG00000088833	NSFL1C	0.3	7.86E-06
ENSG00000088836	SLC4A11	-0.4	7.72E-05
ENSG00000088854	C20orf194	0.5	3.47E-07
ENSG00000088876	ZNF343	0.1	0.061787246
ENSG00000088881	EBF4	-0.3	0.000778195
ENSG00000088882	CPXM1	0.8	0.004335079
ENSG00000088888	MAVS	0.1	0.195998505
ENSG00000088899	LZTS3	-0.4	0.001252512
ENSG00000088926	F11	-1.3	2.12E-07
ENSG00000088930	XRN2	0.4	6.99E-08
ENSG00000088970	KIZ	-0.3	0.000122208
ENSG00000088986	DYNLL1	0.3	2.65E-06
ENSG00000088992	TESC	0.3	0.107903207
ENSG00000089006	SNX5	0.2	0.0039893
ENSG00000089012	SIRPG	-0.2	0.232498379
ENSG00000089022	MAPKAPK5	0.1	0.220109774
ENSG00000089041	P2RX7	1.2	2.68E-07
ENSG00000089048	ESF1	0.6	1.04E-06
ENSG00000089050	RBBP9	0.3	0.000135747
ENSG00000089053	ANAPC5	-0.2	0.000511559
ENSG00000089057	SLC23A2	0.2	0.001054712
ENSG00000089060	SLC8B1	0.2	0.00013468
ENSG00000089091	DZANK1	0.3	0.000708487
ENSG00000089094	KDM2B	0.5	0.000242228
ENSG00000089101	CFAP61	-0.4	1.20E-05
ENSG00000089116	LHX5	-0.6	1.21E-06
ENSG00000089123	TASP1	0.3	6.37E-06
ENSG00000089127	OAS1	1.2	8.16E-06
ENSG00000089154	GCN1	0.3	3.71E-05
ENSG00000089159	PXN	0.5	2.44E-05
ENSG00000089163	SIRT4	-0.3	6.75E-05
ENSG00000089169	RPH3A	-0.2	5.98E-06
ENSG00000089177	KIF16B	-0.1	0.783880535
ENSG00000089195	TRMT6	0.3	0.001005089
ENSG00000089199	CHGB	0.5	0.226488139
ENSG00000089220	PEBP1	-0.8	1.23E-07
ENSG00000089225	TBX5	-0.4	1.89E-07
ENSG00000089234	BRAP	0	0.595329432
ENSG00000089248	ERP29	-0.4	4.81E-07
ENSG00000089250	NOS1	-0.4	2.64E-07
ENSG00000089280	FUS	0.8	6.29E-07
ENSG00000089289	IGBP1	-0.3	0.000121294
ENSG00000089327	FXYD5	1.8	2.16E-09
ENSG00000089335	ZNF302	0	0.805445863
ENSG00000089351	GRAMD1A	0.3	4.00E-05
ENSG00000089472	HEPH	2	2.51E-06
ENSG00000089486	CDIP1	-0.5	2.32E-07
ENSG00000089558	KCNH4	-0.5	1.46E-07
ENSG00000089597	GANAB	0.2	0.000212059
ENSG00000089639	GMIP	0.4	0.001070607
ENSG00000089682	RBM41	0.5	5.37E-05
ENSG00000089685	BIRC5	0.5	0.00606741
ENSG00000089692	LAG3	-0.4	5.97E-06
ENSG00000089693	MLF2	0	0.742091433
ENSG00000089723	OTUB2	-0.3	8.20E-07
ENSG00000089737	DDX24	0.4	8.00E-07
ENSG00000089775	ZBTB25	0.1	0.137246557
ENSG00000089818	NECAP1	-0.2	9.00E-05
ENSG00000089820	ARHGAP4	-0.1	0.223934403
ENSG00000089847	ANKRD24	-0.4	2.64E-07
ENSG00000089876	DHX32	-0.2	0.032402123
ENSG00000089902	RCOR1	0.6	2.19E-05
ENSG00000089916	GPATCH2L	0.5	2.26E-06
ENSG00000090006	LTBP4	0.1	0.368328189
ENSG00000090013	BLVRB	0.2	0.080999834
ENSG00000090020	SLC9A1	0.1	0.33770871
ENSG00000090054	SPTLC1	0.5	1.12E-08
ENSG00000090060	PAPOLA	-0.1	0.000538352
ENSG00000090061	CCNK	0.4	5.89E-06
ENSG00000090097	PCBP4	-0.1	0.016796388
ENSG00000090104	RGS1	1.9	1.90E-07
ENSG00000090238	YPEL3	0.1	0.161401816
ENSG00000090263	MRPS33	-0.2	0.000119269
ENSG00000090266	NDUFB2	0.2	0.001327114
ENSG00000090273	NUDC	0.1	0.002885564
ENSG00000090316	MAEA	0.4	1.83E-05
ENSG00000090339	ICAM1	1.2	1.90E-07
ENSG00000090372	STRN4	0.1	0.098291234
ENSG00000090376	IRAK3	1.9	5.99E-09
ENSG00000090382	LYZ	1.3	4.42E-05
ENSG00000090402	SI	-0.7	0.164227575
ENSG00000090432	MUL1	-0.2	0.00013336
ENSG00000090447	TFAP4	-0.5	3.68E-07
ENSG00000090470	PDCD7	0.5	7.03E-07
ENSG00000090487	SPG21	0.1	0.005162496
ENSG00000090512	FETUB	-0.2	0.005218158
ENSG00000090530	P3H2	0.7	1.28E-05
ENSG00000090534	THPO	-0.4	1.04E-06
ENSG00000090539	CHRD	-0.4	0.000441815
ENSG00000090565	RAB11FIP3	0	0.883468857
ENSG00000090581	GNPTG	-0.1	0.220281417
ENSG00000090612	ZNF268	0.1	0.22120567
ENSG00000090615	GOLGA3	0.3	8.90E-06
ENSG00000090621	PABPC4	-0.9	5.10E-07
ENSG00000090659	CD209	-0.3	0.205347297
ENSG00000090661	CERS4	-0.7	3.26E-06
ENSG00000090674	MCOLN1	0.3	0.001175794
ENSG00000090686	USP48	0.5	7.61E-07
ENSG00000090776	EFNB1	-0.1	0.050687072
ENSG00000090857	PDPR	0.3	2.56E-05
ENSG00000090861	AARS1	-0.2	0.017606106
ENSG00000090863	GLG1	0.1	0.16318535
ENSG00000090889	KIF4A	0.6	0.000124826
ENSG00000090905	TNRC6A	0.2	0.001883319
ENSG00000090924	PLEKHG2	-0.2	7.53E-05
ENSG00000090932	DLL3	-0.6	1.97E-08
ENSG00000090971	NAT14	0.3	2.30E-05
ENSG00000090989	EXOC1	0.7	1.24E-08
ENSG00000091009	RBM27	0.4	0.00016162
ENSG00000091010	POU4F3	-0.3	7.88E-05
ENSG00000091039	OSBPL8	0.9	2.77E-09
ENSG00000091073	DTX2	-0.2	0.030502416
ENSG00000091106	NLRC4	0.3	0.01263665
ENSG00000091127	PUS7	0.3	0.000407425
ENSG00000091128	LAMB4	-0.2	3.30E-05
ENSG00000091129	NRCAM	-1	0.00349817
ENSG00000091136	LAMB1	1.6	1.12E-10
ENSG00000091137	SLC26A4	-0.1	0.092342531
ENSG00000091138	SLC26A3	-0.9	0.067619586
ENSG00000091140	DLD	-0.3	4.60E-06
ENSG00000091157	WDR7	0.2	0.000857221
ENSG00000091164	TXNL1	-0.4	3.71E-08
ENSG00000091181	IL5RA	-0.4	5.45E-07
ENSG00000091262	ABCC6	-0.8	1.14E-05
ENSG00000091317	CMTM6	0.9	9.48E-10
ENSG00000091409	ITGA6	0.2	0.050322875
ENSG00000091428	RAPGEF4	0.4	0.002217155
ENSG00000091436	MAP3K20	0.8	5.80E-07
ENSG00000091482	SMPX	0	0.90247137
ENSG00000091483	FH	0	0.908562656
ENSG00000091490	SEL1L3	0.2	0.188329904
ENSG00000091513	TF	-0.5	1.72E-07
ENSG00000091527	CDV3	0.2	0.00057364
ENSG00000091536	MYO15A	-0.4	1.86E-05
ENSG00000091542	ALKBH5	0	0.753849873
ENSG00000091583	APOH	-0.3	0.305699558
ENSG00000091592	NLRP1	0.5	0.000186889
ENSG00000091622	PITPNM3	0.2	0.072772156
ENSG00000091640	SPAG7	0	0.158957648
ENSG00000091651	ORC6	0.4	0.00023329
ENSG00000091656	ZFHX4	1	1.56E-09
ENSG00000091664	SLC17A6	-0.2	0.028871384
ENSG00000091704	CPA1	-1.3	0.076449547
ENSG00000091732	ZC3HC1	0.2	0.00025711
ENSG00000091831	ESR1	-0.5	8.81E-08
ENSG00000091844	RGS17	0.9	6.26E-08
ENSG00000091879	ANGPT2	0.7	0.00021879
ENSG00000091947	TMEM101	-0.1	0.06739301
ENSG00000091972	CD200	1.4	4.51E-08
ENSG00000091986	CCDC80	2.3	1.07E-09
ENSG00000092009	CMA1	-0.5	0.000115597
ENSG00000092010	PSME1	0.3	0.002866312
ENSG00000092020	PPP2R3C	0.7	2.04E-05
ENSG00000092054	MYH7	-0.5	1.97E-06
ENSG00000092067	CEBPE	-0.6	1.98E-08
ENSG00000092068	SLC7A8	-0.3	1.17E-06
ENSG00000092094	OSGEP	0.2	0.001248568
ENSG00000092096	SLC22A17	-0.4	0.001413657
ENSG00000092108	SCFD1	-0.2	0.003117847
ENSG00000092140	G2E3	0.2	0.001168198
ENSG00000092148	HECTD1	0.2	5.70E-05
ENSG00000092199	HNRNPC	0.2	0.099027247
ENSG00000092200	RPGRIP1	-0.4	2.26E-06
ENSG00000092201	SUPT16H	0.2	0.131145344
ENSG00000092203	TOX4	0	0.370009931
ENSG00000092208	GEMIN2	0.6	4.17E-07
ENSG00000092295	TGM1	-0.4	1.47E-06
ENSG00000092330	TINF2	0.1	0.004743013
ENSG00000092345	DAZL	0	0.217539576
ENSG00000092377	TBL1Y	-0.2	0.001143116
ENSG00000092421	SEMA6A	-0.3	0.010912486
ENSG00000092439	TRPM7	0.4	0.000133988
ENSG00000092445	TYRO3	-0.4	5.16E-06
ENSG00000092470	WDR76	-0.1	0.055891293
ENSG00000092531	SNAP23	0.4	0.000144462
ENSG00000092607	TBX15	0	0.686571724
ENSG00000092621	PHGDH	-0.8	1.04E-05
ENSG00000092758	COL9A3	-0.4	0.005144524
ENSG00000092820	EZR	0.6	0.00036027
ENSG00000092841	MYL6	0	0.801538856
ENSG00000092847	AGO1	0.5	4.36E-05
ENSG00000092853	CLSPN	0	0.372795208
ENSG00000092871	RFFL	0.2	0.007883068
ENSG00000092929	UNC13D	-0.3	0.000208342
ENSG00000092931	MFSD11	0.1	0.022264313
ENSG00000092964	DPYSL2	1.3	1.53E-08
ENSG00000092969	TGFB2	0.7	1.11E-05
ENSG00000092978	GPATCH2	0.5	9.63E-08
ENSG00000093000	NUP50	0.4	0.000598619
ENSG00000093009	CDC45	0.1	0.44666535
ENSG00000093010	COMT	0.3	2.72E-06
ENSG00000093072	ADA2	0.8	0.000303666
ENSG00000093134	VNN3	-0.1	0.325904139
ENSG00000093144	ECHDC1	-0.2	0.002408181
ENSG00000093167	LRRFIP2	0.2	0.03350813
ENSG00000093183	SEC22C	0	0.753885471
ENSG00000093217	XYLB	-0.3	5.86E-05
ENSG00000094631	HDAC6	0.2	0.00046569
ENSG00000094661	OR1I1	-0.5	4.40E-07
ENSG00000094755	GABRP	3	1.63E-08
ENSG00000094796	KRT31	-0.4	1.16E-06
ENSG00000094804	CDC6	0.2	0.069883552
ENSG00000094841	UPRT	0.2	0.049967524
ENSG00000094880	CDC23	0.7	7.38E-07
ENSG00000094914	AAAS	-0.1	0.002659826
ENSG00000094916	CBX5	0.3	0.003910633
ENSG00000094963	FMO2	0	0.838012651
ENSG00000094975	SUCO	-0.4	0.001018858
ENSG00000095002	MSH2	0.4	6.76E-05
ENSG00000095015	MAP3K1	0.1	0.390660046
ENSG00000095066	HOOK2	-0.3	0.009345143
ENSG00000095110	NXPE1	-0.2	0.000461439
ENSG00000095139	ARCN1	-0.1	0.209619151
ENSG00000095203	EPB41L4B	-1.7	4.55E-06
ENSG00000095209	TMEM38B	-0.1	0.174605757
ENSG00000095261	PSMD5	0.2	7.89E-06
ENSG00000095303	PTGS1	0.7	7.80E-07
ENSG00000095319	NUP188	0	0.423821816
ENSG00000095321	CRAT	-0.8	1.21E-07
ENSG00000095370	SH2D3C	0.4	0.013864831
ENSG00000095380	NANS	0	0.612590318
